"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,0.6,-1,1,0,0,1,0,38273,354385489,38273,518509808,38273,354385341,38273,518509878
256,500,375,-2,0.6,-1,1,0,0,2,0,38273,587063610,38273,752795041,38273,587063472,38273,752795126
256,500,375,-2,0.6,-1,1,0,0,3,0,38273,819128684,38273,988346680,38273,819128506,38273,988346731
256,500,375,-2,0.6,-1,1,0,0,4,0,38274,55190457,38274,221737313,38274,55190368,38274,221737366
256,500,375,-2,0.6,-1,1,0,0,5,0,38274,294338123,38274,459763870,38274,294337973,38274,459763923
256,500,375,-2,0.6,-1,1,0,0,6,0,38274,529265276,38274,693362980,38274,529265126,38274,693363053
256,500,375,-2,0.6,-1,1,0,0,7,0,38274,761354897,38274,929017068,38274,761354732,38274,929017153
256,500,375,-2,0.6,-1,1,0,0,8,0,38274,996323221,38275,161005112,38274,996323076,38275,161005177
256,500,375,-2,0.6,-1,1,0,0,9,0,38275,231216433,38275,398082819,38275,231216296,38275,398082865
256,500,375,-2,0.6,-1,1,0,0,10,0,38275,467058287,38275,635689043,38275,467058141,38275,635689108
256,500,375,-2,0.6,-1,1,1,0,1,1,38275,795311211,38275,963382331,38275,795302142,38275,963450797
256,500,375,-2,0.6,-1,1,1,0,2,1,38276,32746774,38276,199611553,38276,32715198,38276,199676124
256,500,375,-2,0.6,-1,1,1,0,3,1,38276,270689441,38276,436684616,38276,270680230,38276,436754624
256,500,375,-2,0.6,-1,1,1,0,4,1,38276,505228058,38276,674158385,38276,505165512,38276,674229567
256,500,375,-2,0.6,-1,1,1,0,5,1,38276,741968168,38276,908889180,38276,741958926,38276,908957342
256,500,375,-2,0.6,-1,1,1,0,6,1,38276,980200147,38277,148430817,38276,980146952,38277,148499209
256,500,375,-2,0.6,-1,1,1,0,7,1,38277,216483101,38277,384573574,38277,216408332,38277,384646224
256,500,375,-2,0.6,-1,1,1,0,8,1,38277,451722920,38277,618467225,38277,451691495,38277,618535361
256,500,375,-2,0.6,-1,1,1,0,9,1,38277,686778042,38277,853888110,38277,686747667,38277,853954377
256,500,375,-2,0.6,-1,1,1,0,10,1,38277,922391864,38278,91369641,38277,922358353,38278,91436308
256,500,375,-2,0.6,-1,1,1,2,1,1,38279,400408675,38279,568429949,38279,400350516,38279,568498369
256,500,375,-2,0.6,-1,1,1,2,2,1,38279,636801639,38279,801669446,38279,636732687,38279,801736535
256,500,375,-2,0.6,-1,1,1,2,3,1,38279,871269356,38280,37650648,38279,871207986,38280,37716662
256,500,375,-2,0.6,-1,1,1,2,4,1,38280,122584378,38280,291405634,38280,122519712,38280,291472613
256,500,375,-2,0.6,-1,1,1,2,5,1,38280,349330053,38280,511927339,38280,349289990,38280,511996486
256,500,375,-2,0.6,-1,1,1,2,6,1,38280,582263916,38280,749344643,38280,582262565,38280,749411165
256,500,375,-2,0.6,-1,1,1,2,7,1,38280,814360168,38280,982704561,38280,814339928,38280,982772619
256,500,375,-2,0.6,-1,1,1,2,8,1,38281,57812593,38281,225256157,38281,57797628,38281,225318902
256,500,375,-2,0.6,-1,1,1,2,9,1,38281,279611725,38281,440958500,38281,279610390,38281,441029296
256,500,375,-2,0.6,-1,1,1,2,10,1,38281,508020316,38281,674496119,38281,508017978,38281,674565700
256,500,375,-2,0.6,-1,1,2,0,1,1,38281,750885287,38281,836445024,38281,750872859,38281,838236485
256,500,375,-2,0.6,-1,1,2,0,1,2,38281,750895692,38281,838167766,38281,750872859,38281,838236485
256,500,375,-2,0.6,-1,1,2,0,2,1,38281,909699425,38281,992727541,38281,909571935,38281,994504281
256,500,375,-2,0.6,-1,1,2,0,2,2,38281,909626637,38281,994440081,38281,909571935,38281,994504281
256,500,375,-2,0.6,-1,1,2,0,3,1,38282,55945445,38282,137598372,38282,55881693,38282,139438672
256,500,375,-2,0.6,-1,1,2,0,3,2,38282,55979333,38282,139368614,38282,55881693,38282,139438672
256,500,375,-2,0.6,-1,1,2,0,4,1,38282,218450384,38282,302462638,38282,218334175,38282,304324810
256,500,375,-2,0.6,-1,1,2,0,4,2,38282,218513796,38282,304255377,38282,218334175,38282,304324810
256,500,375,-2,0.6,-1,1,2,0,5,1,38282,369615732,38282,449488589,38282,369477125,38282,451245139
256,500,375,-2,0.6,-1,1,2,0,5,2,38282,369552962,38282,451183573,38282,369477125,38282,451245139
256,500,375,-2,0.6,-1,1,2,0,6,1,38282,521399793,38282,607568242,38282,521341804,38282,609441862
256,500,375,-2,0.6,-1,1,2,0,6,2,38282,521403772,38282,609371937,38282,521341804,38282,609441862
256,500,375,-2,0.6,-1,1,2,0,7,1,38282,681067037,38282,764150821,38282,681004663,38282,765968794
256,500,375,-2,0.6,-1,1,2,0,7,2,38282,681071785,38282,765871713,38282,681004663,38282,765968794
256,500,375,-2,0.6,-1,1,2,0,8,1,38282,837590823,38282,921973152,38282,837344772,38282,923901720
256,500,375,-2,0.6,-1,1,2,0,8,2,38282,837582563,38282,923833623,38282,837344772,38282,923901720
256,500,375,-2,0.6,-1,1,2,0,9,1,38282,995685126,38283,79895710,38282,995669470,38283,81750767
256,500,375,-2,0.6,-1,1,2,0,9,2,38282,995685751,38283,81674825,38282,995669470,38283,81750767
256,500,375,-2,0.6,-1,1,2,0,10,1,38283,156328127,38283,242943976,38283,156268583,38283,244855900
256,500,375,-2,0.6,-1,1,2,0,10,2,38283,156361292,38283,244763003,38283,156268583,38283,244855900
256,500,375,-2,0.6,-1,1,2,2,1,1,38284,313688398,38284,479414796,38284,313523632,38284,479494024
256,500,375,-2,0.6,-1,1,2,2,1,2,38284,313706984,38284,313707099,38284,313523632,38284,479494024
256,500,375,-2,0.6,-1,1,2,2,2,1,38284,557232859,38284,725476940,38284,557155510,38284,725544638
256,500,375,-2,0.6,-1,1,2,2,2,2,38284,557264925,38284,557265045,38284,557155510,38284,725544638
256,500,375,-2,0.6,-1,1,2,2,3,1,38284,799463139,38284,967884684,38284,799350694,38284,967917619
256,500,375,-2,0.6,-1,1,2,2,3,2,38284,799427186,38284,799427384,38284,799350694,38284,967917619
256,500,375,-2,0.6,-1,1,2,2,4,1,38285,46874311,38285,214976523,38285,46796562,38285,215072522
256,500,375,-2,0.6,-1,1,2,2,4,2,38285,46904511,38285,46904649,38285,46796562,38285,215072522
256,500,375,-2,0.6,-1,1,2,2,5,1,38285,289578942,38285,455169142,38285,289503718,38285,455241217
256,500,375,-2,0.6,-1,1,2,2,5,2,38285,289540930,38285,289541047,38285,289503718,38285,455241217
256,500,375,-2,0.6,-1,1,2,2,6,1,38285,531177553,38285,697992079,38285,531109098,38285,698087792
256,500,375,-2,0.6,-1,1,2,2,6,2,38285,531208368,38285,531208508,38285,531109098,38285,698087792
256,500,375,-2,0.6,-1,1,2,2,7,1,38285,773811609,38285,941335198,38285,773619115,38285,941405930
256,500,375,-2,0.6,-1,1,2,2,7,2,38285,773818498,38285,773818634,38285,773619115,38285,941405930
256,500,375,-2,0.6,-1,1,2,2,8,1,38286,15042576,38286,181983698,38286,14939000,38286,182051122
256,500,375,-2,0.6,-1,1,2,2,8,2,38286,15078291,38286,15078427,38286,14939000,38286,182051122
256,500,375,-2,0.6,-1,1,2,2,9,1,38286,258266980,38286,425522191,38286,258205072,38286,425593690
256,500,375,-2,0.6,-1,1,2,2,9,2,38286,258303060,38286,258303240,38286,258205072,38286,425593690
256,500,375,-2,0.6,-1,1,2,2,10,1,38286,501145421,38286,668314580,38286,501015239,38286,668389423
256,500,375,-2,0.6,-1,1,2,2,10,2,38286,501210155,38286,501210267,38286,501015239,38286,668389423
256,500,375,-2,0.6,-1,1,3,0,1,1,38286,755193877,38286,790415057,38286,754924298,38286,852682862
256,500,375,-2,0.6,-1,1,3,0,1,2,38286,755222751,38286,852601394,38286,754924298,38286,852682862
256,500,375,-2,0.6,-1,1,3,0,1,3,38286,755255363,38286,791654628,38286,754924298,38286,852682862
256,500,375,-2,0.6,-1,1,3,0,2,1,38286,931063264,38286,968077668,38286,930879819,38287,30313230
256,500,375,-2,0.6,-1,1,3,0,2,2,38286,931025199,38287,30229004,38286,930879819,38287,30313230
256,500,375,-2,0.6,-1,1,3,0,2,3,38286,930992317,38286,969230816,38286,930879819,38287,30313230
256,500,375,-2,0.6,-1,1,3,0,3,1,38287,113983368,38287,149507518,38287,113837347,38287,211796676
256,500,375,-2,0.6,-1,1,3,0,3,2,38287,114081034,38287,211705834,38287,113837347,38287,211796676
256,500,375,-2,0.6,-1,1,3,0,3,3,38287,114044290,38287,150743038,38287,113837347,38287,211796676
256,500,375,-2,0.6,-1,1,3,0,4,1,38287,294046446,38287,329785335,38287,293915695,38287,392076799
256,500,375,-2,0.6,-1,1,3,0,4,2,38287,294050247,38287,391988948,38287,293915695,38287,392076799
256,500,375,-2,0.6,-1,1,3,0,4,3,38287,294117640,38287,330982167,38287,293915695,38287,392076799
256,500,375,-2,0.6,-1,1,3,0,5,1,38287,472808203,38287,510785271,38287,472538716,38287,573021825
256,500,375,-2,0.6,-1,1,3,0,5,2,38287,472749010,38287,572927474,38287,472538716,38287,573021825
256,500,375,-2,0.6,-1,1,3,0,5,3,38287,472812863,38287,511934865,38287,472538716,38287,573021825
256,500,375,-2,0.6,-1,1,3,0,6,1,38287,654609794,38287,690083570,38287,654391801,38287,752329433
256,500,375,-2,0.6,-1,1,3,0,6,2,38287,654537208,38287,752246335,38287,654391801,38287,752329433
256,500,375,-2,0.6,-1,1,3,0,6,3,38287,654608543,38287,691237008,38287,654391801,38287,752329433
256,500,375,-2,0.6,-1,1,3,0,7,1,38287,834631456,38287,871841030,38287,834555552,38287,934317157
256,500,375,-2,0.6,-1,1,3,0,7,2,38287,834610526,38287,934229364,38287,834555552,38287,934317157
256,500,375,-2,0.6,-1,1,3,0,7,3,38287,834614577,38287,873022003,38287,834555552,38287,934317157
