"measure","max_push_pop","nb_threads","non_blocking","try","thread","global_start_sec","global_start_nsec","global_stop_sec","global_stop_nsec","thread_start_sec","thread_start_nsec","thread_stop_sec","thread_stop_nsec"
1,500000,1,0,1,0,4832,492276108,4832,503940210,4832,492297733,4832,503884459
1,500000,1,0,2,0,4832,545517568,4832,557215371,4832,545540900,4832,557158046
1,500000,1,0,3,0,4832,595808272,4832,607715586,4832,595851818,4832,607652035
1,500000,2,0,1,0,4832,883028857,4832,918193846,4832,883073255,4832,918145823
1,500000,2,0,1,1,4832,883028857,4832,918193846,4832,883073260,4832,914067200
1,500000,2,0,2,0,4832,962327155,4833,6098834,4832,962368080,4833,5599963
1,500000,2,0,2,1,4832,962327155,4833,6098834,4832,962365219,4833,6089193
1,500000,2,0,3,0,4833,49232467,4833,95772603,4833,49274916,4833,95742894
1,500000,2,0,3,1,4833,49232467,4833,95772603,4833,49274918,4833,95490142
1,500000,3,0,1,0,4833,372179471,4833,407931682,4833,372203403,4833,407259244
1,500000,3,0,1,1,4833,372179471,4833,407931682,4833,372228608,4833,407923608
1,500000,3,0,1,2,4833,372179471,4833,407931682,4833,372220157,4833,405487851
1,500000,3,0,2,0,4833,460271106,4833,496604222,4833,460311130,4833,496593779
1,500000,3,0,2,1,4833,460271106,4833,496604222,4833,460308719,4833,495468802
1,500000,3,0,2,2,4833,460271106,4833,496604222,4833,460318912,4833,493769323
1,500000,3,0,3,0,4833,545051743,4833,583380632,4833,545094899,4833,583370851
1,500000,3,0,3,1,4833,545051743,4833,583380632,4833,545094903,4833,572419232
1,500000,3,0,3,2,4833,545051743,4833,583380632,4833,545096660,4833,583208680
1,500000,4,0,1,0,4833,868189616,4833,909758114,4833,868230747,4833,909596964
1,500000,4,0,1,1,4833,868189616,4833,909758114,4833,868229070,4833,909486049
1,500000,4,0,1,2,4833,868189616,4833,909758114,4833,868240744,4833,909749382
1,500000,4,0,1,3,4833,868189616,4833,909758114,4833,868263378,4833,902038425
1,500000,4,0,2,0,4833,964992971,4834,12085171,4833,965036240,4834,12074394
1,500000,4,0,2,1,4833,964992971,4834,12085171,4833,965036243,4834,11803700
1,500000,4,0,2,2,4833,964992971,4834,12085171,4833,965038061,4834,8454816
1,500000,4,0,2,3,4833,964992971,4834,12085171,4833,965056057,4834,11727624
1,500000,4,0,3,0,4834,66502373,4834,115269496,4834,66550576,4834,115216462
1,500000,4,0,3,1,4834,66502373,4834,115269496,4834,66550579,4834,113974904
1,500000,4,0,3,2,4834,66502373,4834,115269496,4834,66589426,4834,115263132
1,500000,4,0,3,3,4834,66502373,4834,115269496,4834,66574625,4834,114358261
1,500000,5,0,1,0,4834,405502241,4834,450377841,4834,405542576,4834,450346927
1,500000,5,0,1,1,4834,405502241,4834,450377841,4834,405539927,4834,447684941
1,500000,5,0,1,2,4834,405502241,4834,450377841,4834,405550165,4834,450347744
1,500000,5,0,1,3,4834,405502241,4834,450377841,4834,405571500,4834,438312525
1,500000,5,0,1,4,4834,405502241,4834,450377841,4834,405578862,4834,445895335
1,500000,5,0,2,0,4834,509491977,4834,554437555,4834,509515467,4834,548294973
1,500000,5,0,2,1,4834,509491977,4834,554437555,4834,509549225,4834,546857011
1,500000,5,0,2,2,4834,509491977,4834,554437555,4834,512890499,4834,554075401
1,500000,5,0,2,3,4834,509491977,4834,554437555,4834,512878666,4834,547676192
1,500000,5,0,2,4,4834,509491977,4834,554437555,4834,512868823,4834,554382524
1,500000,5,0,3,0,4834,614510013,4834,650919489,4834,614551934,4834,630770035
1,500000,5,0,3,1,4834,614510013,4834,650919489,4834,616209448,4834,650894514
1,500000,5,0,3,2,4834,614510013,4834,650919489,4834,616199757,4834,641045001
1,500000,5,0,3,3,4834,614510013,4834,650919489,4834,616198805,4834,650624220
1,500000,5,0,3,4,4834,614510013,4834,650919489,4834,616204160,4834,650402953
1,500000,6,0,1,0,4834,944865826,4834,992706871,4834,944905884,4834,992680007
1,500000,6,0,1,1,4834,944865826,4834,992706871,4834,944899289,4834,990790880
1,500000,6,0,1,2,4834,944865826,4834,992706871,4834,944910196,4834,992254451
1,500000,6,0,1,3,4834,944865826,4834,992706871,4834,944931078,4834,990767438
1,500000,6,0,1,4,4834,944865826,4834,992706871,4834,944959437,4834,992456323
1,500000,6,0,1,5,4834,944865826,4834,992706871,4834,944959442,4834,989197279
1,500000,6,0,2,0,4835,56506768,4835,104231693,4835,56548053,4835,104203525
1,500000,6,0,2,1,4835,56506768,4835,104231693,4835,56544482,4835,102411530
1,500000,6,0,2,2,4835,56506768,4835,104231693,4835,56771838,4835,104021021
1,500000,6,0,2,3,4835,56506768,4835,104231693,4835,56616295,4835,99806719
1,500000,6,0,2,4,4835,56506768,4835,104231693,4835,56609688,4835,103195063
1,500000,6,0,2,5,4835,56506768,4835,104231693,4835,56594416,4835,101832462
1,500000,6,0,3,0,4835,168280265,4835,215474069,4835,168324672,4835,215180184
1,500000,6,0,3,1,4835,168280265,4835,215474069,4835,168324675,4835,214133900
1,500000,6,0,3,2,4835,168280265,4835,215474069,4835,168366211,4835,215450230
1,500000,6,0,3,3,4835,168280265,4835,215474069,4835,168499879,4835,215350401
1,500000,6,0,3,4,4835,168280265,4835,215474069,4835,168377913,4835,214459375
1,500000,6,0,3,5,4835,168280265,4835,215474069,4835,168359520,4835,207098720
2,500000,1,0,1,0,4835,517832424,4835,531048350,4835,517877509,4835,530982725
2,500000,1,0,2,0,4835,573651092,4835,586554262,4835,573703143,4835,586495238
2,500000,1,0,3,0,4835,627967064,4835,640854430,4835,628028601,4835,640799306
2,500000,2,0,1,0,4835,911854398,4835,956130452,4835,911927148,4835,956092864
2,500000,2,0,1,1,4835,911854398,4835,956130452,4835,911927152,4835,955571805
2,500000,2,0,2,0,4835,998543917,4836,43386592,4835,998601429,4836,42285732
2,500000,2,0,2,1,4835,998543917,4836,43386592,4835,998609276,4836,43378009
2,500000,2,0,3,0,4836,87775092,4836,132177582,4836,87835015,4836,130780666
2,500000,2,0,3,1,4836,87775092,4836,132177582,4836,87842658,4836,132168742
2,500000,3,0,1,0,4836,407519151,4836,446115297,4836,407603903,4836,446104645
2,500000,3,0,1,1,4836,407519151,4836,446115297,4836,407594332,4836,445352323
2,500000,3,0,1,2,4836,407519151,4836,446115297,4836,407600241,4836,441559140
2,500000,3,0,2,0,4836,495094866,4836,535042919,4836,495174729,4836,535030330
2,500000,3,0,2,1,4836,495094866,4836,535042919,4836,495181888,4836,534995434
2,500000,3,0,2,2,4836,495094866,4836,535042919,4836,495173036,4836,527919617
2,500000,3,0,3,0,4836,582773946,4836,621697805,4836,582815500,4836,614318198
2,500000,3,0,3,1,4836,582773946,4836,621697805,4836,582828632,4836,621685401
2,500000,3,0,3,2,4836,582773946,4836,621697805,4836,582844207,4836,621686832
2,500000,4,0,1,0,4836,901253462,4836,951144238,4836,901361031,4836,950960781
2,500000,4,0,1,1,4836,901253462,4836,951144238,4836,901754915,4836,949834633
2,500000,4,0,1,2,4836,901253462,4836,951144238,4836,901354083,4836,949642029
2,500000,4,0,1,3,4836,901253462,4836,951144238,4836,901781295,4836,951019653
2,500000,4,0,2,0,4837,4857192,4837,50971408,4837,5397902,4837,50604729
2,500000,4,0,2,1,4837,4857192,4837,50971408,4837,5381242,4837,50829464
2,500000,4,0,2,2,4837,4857192,4837,50971408,4837,5401592,4837,50965739
2,500000,4,0,2,3,4837,4857192,4837,50971408,4837,5418727,4837,46161385
2,500000,4,0,3,0,4837,104370605,4837,155052611,4837,104830625,4837,153667709
2,500000,4,0,3,1,4837,104370605,4837,155052611,4837,104833339,4837,154555060
2,500000,4,0,3,2,4837,104370605,4837,155052611,4837,104830632,4837,153045753
2,500000,4,0,3,3,4837,104370605,4837,155052611,4837,104850969,4837,154921253
2,500000,5,0,1,0,4837,446431126,4837,495902642,4837,446927314,4837,495711785
2,500000,5,0,1,1,4837,446431126,4837,495902642,4837,446927301,4837,493027139
2,500000,5,0,1,2,4837,446431126,4837,495902642,4837,450566393,4837,495759299
2,500000,5,0,1,3,4837,446431126,4837,495902642,4837,447040025,4837,494065814
2,500000,5,0,1,4,4837,446431126,4837,495902642,4837,446991977,4837,490998689
2,500000,5,0,2,0,4837,555413624,4837,601687525,4837,555482113,4837,593780343
2,500000,5,0,2,1,4837,555413624,4837,601687525,4837,555885966,4837,601659077
2,500000,5,0,2,2,4837,555413624,4837,601687525,4837,555983786,4837,597970670
2,500000,5,0,2,3,4837,555413624,4837,601687525,4837,555918979,4837,601549274
2,500000,5,0,2,4,4837,555413624,4837,601687525,4837,555931044,4837,597135795
2,500000,5,0,3,0,4837,661862794,4837,709992903,4837,662307427,4837,709969262
2,500000,5,0,3,1,4837,661862794,4837,709992903,4837,662335145,4837,704692963
2,500000,5,0,3,2,4837,661862794,4837,709992903,4837,662334181,4837,709785505
2,500000,5,0,3,3,4837,661862794,4837,709992903,4837,662361394,4837,706112535
2,500000,5,0,3,4,4837,661862794,4837,709992903,4837,662404806,4837,708539433
