"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
"seq","uniform-random",1048576,123456,1,"parallel",1,290.889128
"seq","uniform-random",1048576,123456,1,"parallel",2,289.141480
"seq","uniform-random",1048576,123456,1,"drake",1,668.846742
"seq","uniform-random",1048576,123456,1,"drake",2,660.183106
"seq","uniform-random",1048576,123456,2,"parallel",1,291.215459
"seq","uniform-random",1048576,123456,2,"parallel",2,291.446968
"seq","uniform-random",1048576,123456,2,"drake",1,661.978002
"seq","uniform-random",1048576,123456,2,"drake",2,661.598348
"seq","uniform-random",4194304,123456,1,"parallel",1,1236.835347
"seq","uniform-random",4194304,123456,1,"parallel",2,1256.757338
"seq","uniform-random",4194304,123456,1,"drake",1,2614.135485
"seq","uniform-random",4194304,123456,1,"drake",2,2614.315805
"seq","uniform-random",4194304,123456,2,"parallel",1,1235.680336
"seq","uniform-random",4194304,123456,2,"parallel",2,1262.745181
"seq","uniform-random",4194304,123456,2,"drake",1,2743.659174
"seq","uniform-random",4194304,123456,2,"drake",2,2613.600367
"seq","uniform-random",16777216,123456,1,"parallel",1,4774.571129
"seq","uniform-random",16777216,123456,1,"parallel",2,4831.321773
"seq","uniform-random",16777216,123456,1,"drake",1,10306.369939
"seq","uniform-random",16777216,123456,1,"drake",2,10119.801429
"seq","uniform-random",16777216,123456,2,"parallel",1,4910.024811
"seq","uniform-random",16777216,123456,2,"parallel",2,4783.605651
"seq","uniform-random",16777216,123456,2,"drake",1,10036.014144
"seq","uniform-random",16777216,123456,2,"drake",2,10006.251313
"seq","increasing",1048576,123456,1,"parallel",1,163.798738
"seq","increasing",1048576,123456,1,"parallel",2,170.879162
"seq","increasing",1048576,123456,1,"drake",1,444.448770
"seq","increasing",1048576,123456,1,"drake",2,446.686990
"seq","increasing",4194304,123456,1,"parallel",1,691.630330
"seq","increasing",4194304,123456,1,"parallel",2,695.753822
"seq","increasing",4194304,123456,1,"drake",1,1820.262624
"seq","increasing",4194304,123456,1,"drake",2,1830.063914
"seq","increasing",16777216,123456,1,"parallel",1,2819.756602
"seq","increasing",16777216,123456,1,"parallel",2,2859.078118
"seq","increasing",16777216,123456,1,"drake",1,6716.259967
"seq","increasing",16777216,123456,1,"drake",2,6784.442210
"seq","decreasing",1048576,123456,1,"parallel",1,166.195137
"seq","decreasing",1048576,123456,1,"parallel",2,166.665011
"seq","decreasing",1048576,123456,1,"drake",1,448.535179
"seq","decreasing",1048576,123456,1,"drake",2,448.197108
"seq","decreasing",4194304,123456,1,"parallel",1,708.461650
"seq","decreasing",4194304,123456,1,"parallel",2,694.232410
"seq","decreasing",4194304,123456,1,"drake",1,1802.348726
"seq","decreasing",4194304,123456,1,"drake",2,1802.393939
"seq","decreasing",16777216,123456,1,"parallel",1,2901.959391
"seq","decreasing",16777216,123456,1,"parallel",2,2844.675838
"seq","decreasing",16777216,123456,1,"drake",1,6802.986605
"seq","decreasing",16777216,123456,1,"drake",2,6799.136202
"seq","constant",1048576,123456,1,"parallel",1,5.303012
"seq","constant",1048576,123456,1,"parallel",2,5.965917
"seq","constant",1048576,123456,1,"drake",1,269.243202
"seq","constant",1048576,123456,1,"drake",2,283.784921
"seq","constant",4194304,123456,1,"parallel",1,21.790626
"seq","constant",4194304,123456,1,"parallel",2,21.788848
"seq","constant",4194304,123456,1,"drake",1,1062.498030
"seq","constant",4194304,123456,1,"drake",2,1060.600717
"seq","constant",16777216,123456,1,"parallel",1,87.060346
"seq","constant",16777216,123456,1,"parallel",2,86.672697
"seq","constant",16777216,123456,1,"drake",1,3961.930493
"seq","constant",16777216,123456,1,"drake",2,3959.571974
"2","uniform-random",1048576,123456,1,"parallel",1,346.870630
"2","uniform-random",1048576,123456,1,"parallel",2,343.979013
"2","uniform-random",1048576,123456,1,"drake",1,366.454890
"2","uniform-random",1048576,123456,1,"drake",2,355.872804
"2","uniform-random",1048576,123456,2,"parallel",1,344.666245
"2","uniform-random",1048576,123456,2,"parallel",2,349.756154
"2","uniform-random",1048576,123456,2,"drake",1,360.916815
"2","uniform-random",1048576,123456,2,"drake",2,351.608902
"2","uniform-random",4194304,123456,1,"parallel",1,1423.227247
"2","uniform-random",4194304,123456,1,"parallel",2,1418.150822
"2","uniform-random",4194304,123456,1,"drake",1,1428.442431
